method,k,operator,f1,micro_f1,macro_f1,recall,micro_recall,macro_recall,precision,micro_precision,macro_precision
TgGCN,2,L2,0.39462517831389937,0.5140562248995985,0.39215606765995653,0.6708595387840671,0.6708595387840671,0.6666666666666666,0.279527537561146,0.4166666666666667,0.27777777777777773
TgGCN,3,L2,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TgGAT,1,sigmoid,0.43042235809868784,0.43089430894308944,0.43040399988558065,0.3888888888888889,0.3888888888888889,0.3888439893826093,0.4988568578740807,0.4830729166666667,0.49881057928833394
TgGAT,2,sigmoid,0.5340564364653028,0.5429718875502009,0.5336298928234824,0.7085953878406709,0.7085953878406709,0.7069847853186763,0.448530860657152,0.4401041666666667,0.4487674716648644
TgGAT,3,sigmoid,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TgGAT,1,HAD,0.42701778715269423,0.4343786295005807,0.42720792325553586,0.3920335429769392,0.3920335429769392,0.392224742856246,0.513808873794589,0.4869791666666667,0.5137060906820339
TgGAT,2,HAD,0.5380751524685562,0.5493975903614459,0.5375487561548364,0.7169811320754716,0.7169811320754716,0.7151272190344713,0.45402922338115287,0.4453125,0.4542561147968156
TgGAT,3,HAD,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TgGAT,1,AVG,0.198364433355857,0.3728222996515679,0.19651056014692378,0.33647798742138363,0.33647798742138363,0.3333333333333333,0.14063728380503146,0.41796875,0.13932291666666666
TgGAT,2,AVG,0.39462517831389937,0.5140562248995985,0.39215606765995653,0.6708595387840671,0.6708595387840671,0.6666666666666666,0.279527537561146,0.4166666666666667,0.27777777777777773
TgGAT,3,AVG,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TgGAT,1,L1,0.4210506965288093,0.4285714285714286,0.4208469759438717,0.3867924528301887,0.3867924528301887,0.3864466605372776,0.5096966877184755,0.48046875,0.509666153303978
TgGAT,2,L1,0.5296164507994426,0.5461847389558233,0.5290141527752978,0.7127882599580713,0.7127882599580713,0.7107622841410363,0.45730593682909615,0.4427083333333333,0.45763295929718417
TgGAT,3,L1,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TgGAT,1,L2,0.4308915547706258,0.43902439024390244,0.4306507685171364,0.39622641509433965,0.39622641509433965,0.39581849685078324,0.516984662713021,0.4921875,0.5170124103371039
TgGAT,2,L2,0.5305850920613137,0.5469879518072289,0.5299996068720637,0.7138364779874213,0.7138364779874213,0.7117876847797143,0.45977327060743145,0.443359375,0.46014885699096225
TgGAT,3,L2,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TgSAGE,1,sigmoid,0.34143310604095833,0.3495934959349593,0.3410111451612577,0.31551362683438156,0.31551362683438156,0.3148154437465583,0.3893885072659016,0.3919270833333333,0.38934832490477245
TgSAGE,2,sigmoid,0.5060535390470287,0.5092369477911647,0.5057700250490781,0.6645702306079665,0.6645702306079665,0.6636655218795782,0.4130519926919094,0.4127604166666667,0.41306250303200603
TgSAGE,3,sigmoid,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TgSAGE,1,HAD,0.36861860466172724,0.37514518002322883,0.36828491374100997,0.3385744234800839,0.3385744234800839,0.33792908963229035,0.4346473311546842,0.4205729166666667,0.4350626361655774
TgSAGE,2,HAD,0.49869534427071893,0.502008032128514,0.4984929197246754,0.6551362683438156,0.6551362683438156,0.6541837227253642,0.4106390897952562,0.4069010416666667,0.4108065302922395
TgSAGE,3,HAD,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TgSAGE,1,AVG,0.19626074495804233,0.3704994192799071,0.1956455075130328,0.33438155136268344,0.33438155136268344,0.3333333333333333,0.13889025375611458,0.4153645833333333,0.1384548611111111
TgSAGE,2,AVG,0.39462517831389937,0.5140562248995985,0.39215606765995653,0.6708595387840671,0.6708595387840671,0.6666666666666666,0.279527537561146,0.4166666666666667,0.27777777777777773
TgSAGE,3,AVG,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TgSAGE,1,L1,0.36459685899368943,0.37514518002322883,0.36491399487077,0.3385744234800839,0.3385744234800839,0.33897229042157623,0.4219980730907409,0.4205729166666667,0.4221360566297275
TgSAGE,2,L1,0.49761527319024534,0.5044176706827309,0.4979070475919178,0.6582809224318659,0.6582809224318659,0.6593687293215795,0.4087132119498898,0.4088541666666667,0.4087134516808484
TgSAGE,3,L1,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TgSAGE,1,L2,0.3423457625051716,0.3507549361207898,0.3425142131911985,0.3165618448637317,0.3165618448637317,0.3167422348890458,0.3935224562687875,0.3932291666666667,0.3936037624926514
