method,k,operator,f1,micro_f1,macro_f1,recall,micro_recall,macro_recall,precision,micro_precision,macro_precision
TgGAT,2,sigmoid,0.3728838352679527,0.3676389653274628,0.36316459924204236,0.4400527009222661,0.4400527009222661,0.4459202716650391,0.3420911399807549,0.31568998109640833,0.321951348478356
TgGAT,3,sigmoid,0.43440211136034246,0.4219948849104859,0.4208163817476233,0.6521739130434783,0.6521739130434783,0.6650847950065721,0.34329879731967966,0.31190926275992437,0.32194390034302056
TgGAT,4,sigmoid,0.46002529977050804,0.4417391304347826,0.4424095255790899,0.836627140974967,0.836627140974967,0.8514779069609129,0.3302715211923253,0.3000945179584121,0.3095005077219505
TgGAT,5,sigmoid,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
TgGAT,1,HAD,0.26576875071418216,0.2732919254658385,0.26000024786303977,0.2318840579710145,0.2318840579710145,0.2297216029866392,0.3262336916022795,0.332703213610586,0.3163885658710683
TgGAT,2,HAD,0.35120969644791944,0.3467253714914694,0.3406354637178051,0.4150197628458498,0.4150197628458498,0.41546363178333523,0.3129944389839847,0.29773156899810965,0.29614377334201814
TgGAT,3,HAD,0.4059789295728579,0.3964194373401535,0.39147023994530455,0.6126482213438735,0.6126482213438735,0.614298433391195,0.3149371298093484,0.29300567107750475,0.2964296070809725
TgGAT,4,HAD,0.43377851549310453,0.42226086956521747,0.41925038205181275,0.7997364953886693,0.7997364953886693,0.8095709138834577,0.307080587211307,0.28686200378071836,0.2904910370547576
TgGAT,5,HAD,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
TgGAT,1,AVG,0.06478758957550049,0.1972049689440994,0.07743902439024389,0.1673254281949934,0.1673254281949934,0.2,0.040170754973089154,0.24007561436672967,0.04801512287334593
TgGAT,2,AVG,0.17827074196025466,0.3313153549807375,0.17644329181556392,0.3965744400527009,0.3965744400527009,0.4,0.11557591199244852,0.2844990548204159,0.11379962192816635
TgGAT,3,AVG,0.2421394321814175,0.3640238704177323,0.25338985670106007,0.5625823451910409,0.5625823451910409,0.6,0.15511654724279034,0.26906112161310647,0.16143667296786388
TgGAT,4,AVG,0.2997241359013869,0.3798260869565217,0.3268466468245169,0.7193675889328063,0.7193675889328063,0.8,0.19038581757411377,0.2580340264650284,0.2064272211720227
TgGAT,5,AVG,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
